periodMonth,sourceName,activityTypeID,discoveredCount,returnedDistinctCount,expectedTotalCount,paginationCompleteFlag,detailSuccessCount,detailFailureCount,activityTextAvailableCount,rq1EligibleEstimatedCount,rq2EligibleEstimatedCount,ncsEligibleEstimatedCount,coverageStatus,coverageReason,platformCoverageRegime,note
2019-01,linkareer,5,,,0,False,,,,,,,insufficient,platformPreLaunch,preLaunch,Single-request totalCount spot-check only (RECON_20260806_01). recruit(activityTypeID=5) category appears unlaunched.
2019-03,linkareer,5,,,0,False,,,,,,,insufficient,platformPreLaunch,preLaunch,Single-request totalCount spot-check only (RECON_20260806_01). recruit(activityTypeID=5) category appears unlaunched.
2019-06,linkareer,5,,,1,False,,,,,,,insufficient,platformPreLaunch,preLaunch,Single-request totalCount spot-check only (RECON_20260806_01). recruit(activityTypeID=5) category appears unlaunched.
2019-09,linkareer,5,,,0,False,,,,,,,insufficient,platformPreLaunch,preLaunch,Single-request totalCount spot-check only (RECON_20260806_01). recruit(activityTypeID=5) category appears unlaunched.
2019-12,linkareer,5,,,23,False,,,,,,,insufficient,platformPreLaunch,preLaunch,Single-request totalCount spot-check only (RECON_20260806_01). recruit(activityTypeID=5) category appears unlaunched.
2020-01,linkareer,5,,,,False,,,,,,,unverified,paginationUnverified,operational,Not yet audited this pass -- pending full 2020-01..2026-07 sweep
2020-02,linkareer,5,,,,False,,,,,,,unverified,paginationUnverified,operational,Not yet audited this pass -- pending full 2020-01..2026-07 sweep
2020-03,linkareer,5,5,,,False,,,,,,,unverified,paginationUnverified,operational,"Only a naive single-request sample (5 ids) taken in RECON_20260806_01 for stratified fixture purposes -- NOT a coverage count, full day-pagination not run"
2020-04,linkareer,5,,,,False,,,,,,,unverified,paginationUnverified,operational,Not yet audited this pass -- pending full 2020-01..2026-07 sweep
2020-05,linkareer,5,,,,False,,,,,,,unverified,paginationUnverified,operational,Not yet audited this pass -- pending full 2020-01..2026-07 sweep
2020-06,linkareer,5,,,,False,,,,,,,unverified,paginationUnverified,operational,Not yet audited this pass -- pending full 2020-01..2026-07 sweep
2020-07,linkareer,5,,,,False,,,,,,,unverified,paginationUnverified,operational,Not yet audited this pass -- pending full 2020-01..2026-07 sweep
2020-08,linkareer,5,,,,False,,,,,,,unverified,paginationUnverified,operational,Not yet audited this pass -- pending full 2020-01..2026-07 sweep
2020-09,linkareer,5,,,,False,,,,,,,unverified,paginationUnverified,operational,Not yet audited this pass -- pending full 2020-01..2026-07 sweep
2020-10,linkareer,5,,,,False,,,,,,,unverified,paginationUnverified,operational,Not yet audited this pass -- pending full 2020-01..2026-07 sweep
2020-11,linkareer,5,,,,False,,,,,,,unverified,paginationUnverified,operational,Not yet audited this pass -- pending full 2020-01..2026-07 sweep
2020-12,linkareer,5,,,,False,,,,,,,unverified,paginationUnverified,operational,Not yet audited this pass -- pending full 2020-01..2026-07 sweep
2021-01,linkareer,5,,,,False,,,,,,,unverified,paginationUnverified,operational,Not yet audited this pass -- pending full 2020-01..2026-07 sweep
2021-02,linkareer,5,,,,False,,,,,,,unverified,paginationUnverified,operational,Not yet audited this pass -- pending full 2020-01..2026-07 sweep
2021-03,linkareer,5,949,949,1381,True,,,,,,,complete,complete,operational,"Fully re-paginated (global nodePagination advance), 12 requests, 1381==1381 sum(totalCount)==sum(collected)"
2021-04,linkareer,5,,,,False,,,,,,,unverified,paginationUnverified,operational,Not yet audited this pass -- pending full 2020-01..2026-07 sweep
2021-05,linkareer,5,,,,False,,,,,,,unverified,paginationUnverified,operational,Not yet audited this pass -- pending full 2020-01..2026-07 sweep
2021-06,linkareer,5,,,,False,,,,,,,unverified,paginationUnverified,operational,Not yet audited this pass -- pending full 2020-01..2026-07 sweep
