periodMonth,sourceName,activityTypeID,discoveredCount,returnedDistinctCount,expectedTotalCount,paginationCompleteFlag,requestCount,firstPostingId,lastPostingId,errorCount,coverageStatus,coverageReason,platformCoverageRegime,note
2019-01,linkareer,5,,,0,False,1,,,0,insufficient,platformPreLaunch,preStableRecruitService,recruit(activityTypeID=5) category appears effectively unlaunched. Outside primary analysis window.
2019-03,linkareer,5,,,0,False,1,,,0,insufficient,platformPreLaunch,preStableRecruitService,recruit(activityTypeID=5) category appears effectively unlaunched. Outside primary analysis window.
2019-06,linkareer,5,,,1,False,1,,,0,insufficient,platformPreLaunch,preStableRecruitService,recruit(activityTypeID=5) category appears effectively unlaunched. Outside primary analysis window.
2019-09,linkareer,5,,,0,False,1,,,0,insufficient,platformPreLaunch,preStableRecruitService,recruit(activityTypeID=5) category appears effectively unlaunched. Outside primary analysis window.
2019-12,linkareer,5,,,23,False,1,,,0,insufficient,platformPreLaunch,preStableRecruitService,recruit(activityTypeID=5) category appears effectively unlaunched. Outside primary analysis window.
2020-01,linkareer,5,254,254,264,True,6,24563,40878,0,complete,complete,operational,"Fully re-paginated, 254/264 distinct ids (dedup across start+end buckets; expected includes legitimate double count of same-month start+close postings), global nodePagination advance verified exhausted per bucket"
2020-02,linkareer,5,896,896,1234,True,8,29589,38086,0,complete,complete,operational,"Fully re-paginated, 896/1234 distinct ids (dedup across start+end buckets; expected includes legitimate double count of same-month start+close postings), global nodePagination advance verified exhausted per bucket"
2020-03,linkareer,5,18,,,False,1,,,0,unverified,paginationUnverified,operational,"Single-request sample only (18 ids used for stratified detail sample), NOT a full pagination count"
2020-04,linkareer,5,1268,1268,1699,True,11,31516,41279,0,complete,complete,operational,"Fully re-paginated, 1268/1699 distinct ids (dedup across start+end buckets; expected includes legitimate double count of same-month start+close postings), global nodePagination advance verified exhausted per bucket"
2020-05,linkareer,5,1105,1105,1422,True,10,32522,43233,0,complete,complete,operational,"Fully re-paginated, 1105/1422 distinct ids (dedup across start+end buckets; expected includes legitimate double count of same-month start+close postings), global nodePagination advance verified exhausted per bucket"
2020-06,linkareer,5,1205,1205,1676,True,14,31214,45028,0,complete,complete,operational,"Fully re-paginated, 1205/1676 distinct ids (dedup across start+end buckets; expected includes legitimate double count of same-month start+close postings), global nodePagination advance verified exhausted per bucket"
2020-07,linkareer,5,,,,False,0,,,0,unverified,paginationUnverified,operational,Not yet audited -- pending remaining sweep of the 2020-01..2026-07 target range
2020-08,linkareer,5,,,,False,0,,,0,unverified,paginationUnverified,operational,Not yet audited -- pending remaining sweep of the 2020-01..2026-07 target range
2020-09,linkareer,5,,,,False,0,,,0,unverified,paginationUnverified,operational,Not yet audited -- pending remaining sweep of the 2020-01..2026-07 target range
2020-10,linkareer,5,,,,False,0,,,0,unverified,paginationUnverified,operational,Not yet audited -- pending remaining sweep of the 2020-01..2026-07 target range
2020-11,linkareer,5,,,,False,0,,,0,unverified,paginationUnverified,operational,Not yet audited -- pending remaining sweep of the 2020-01..2026-07 target range
2020-12,linkareer,5,,,,False,0,,,0,unverified,paginationUnverified,operational,Not yet audited -- pending remaining sweep of the 2020-01..2026-07 target range
2021-01,linkareer,5,918,918,1320,True,11,39342,57062,0,complete,complete,operational,"Fully re-paginated, 918/1320 distinct ids (dedup across start+end buckets; expected includes legitimate double count of same-month start+close postings), global nodePagination advance verified exhausted per bucket"
2021-02,linkareer,5,815,815,1125,True,10,36536,58563,0,complete,complete,operational,"Fully re-paginated, 815/1125 distinct ids (dedup across start+end buckets; expected includes legitimate double count of same-month start+close postings), global nodePagination advance verified exhausted per bucket"
