notebook,cellIndex,importedModule,calledFunction,definitionPath,definitionLine,functionSignature,ownerAgent,inputType,outputType,sideEffects,testPath,implementationStatus
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,3,p4_crawl.config,RunConfig,crawl/src/p4_crawl/config.py,36,RunConfig,P4-A1-SOURCE,class,unspecified,file-write,crawl/tests/test_release.py,IMPLEMENTED_AND_TESTED
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,0,p4_crawl.observed,audit_input_manifest,crawl/src/p4_crawl/observed.py,41,"audit_input_manifest(project_root: Path, relative_path: str, expected_release_id: str)",P4-A1-SOURCE,Path;str;str,dict,network-capable,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,0,p4_crawl.observed,recover_observed_input_state,crawl/src/p4_crawl/observed.py,222,"recover_observed_input_state(observed_root: Path, output_root: Path)",P4-A1-SOURCE,Path;Path,dict,file-write,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,3,p4_crawl.observed,require_repository_relative,crawl/src/p4_crawl/observed.py,34,require_repository_relative(value: str),P4-A1-SOURCE,str,Path,none-detected,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,0,p4_crawl.observed,validate_observed_package,crawl/src/p4_crawl/observed.py,203,validate_observed_package(observed_root: Path),P4-A1-SOURCE,Path,dict,none-detected,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,0,p4_crawl.stage,write_stage_artifacts,crawl/src/p4_crawl/stage.py,46,"write_stage_artifacts(*, config, stage_id: str, schema_version: str, started_at: str, parameters: dict[str, Any], input_manifest_path: Path, stage_root: Path, metric_values: dict[str, Any], quality_rows: list[dict[str, Any]], persisted_files: list[Path], warnings: list[str] | None=None, errors: list[str] | None=None, branch: str='agent/p4-crawl-release-v2')",P4-A1-SOURCE,,dict,file-write;network-capable,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,3,p4_crawl.config,RunConfig,crawl/src/p4_crawl/config.py,36,RunConfig,P4-A1-SOURCE,class,unspecified,file-write,crawl/tests/test_release.py,IMPLEMENTED_AND_TESTED
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,0,p4_crawl.observed,audit_input_manifest,crawl/src/p4_crawl/observed.py,41,"audit_input_manifest(project_root: Path, relative_path: str, expected_release_id: str)",P4-A1-SOURCE,Path;str;str,dict,network-capable,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,3,p4_crawl.observed,require_repository_relative,crawl/src/p4_crawl/observed.py,34,require_repository_relative(value: str),P4-A1-SOURCE,str,Path,none-detected,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,0,p4_crawl.observed,run_fixture_apq_query,crawl/src/p4_crawl/observed.py,75,"run_fixture_apq_query(crawl_root: Path, output_root: Path)",P4-A1-SOURCE,Path;Path,dict,file-write;network-capable,,IMPLEMENTED_UNTESTED
