component,filePath,moduleName,className,functionName,signature,purpose,input,output,sideEffect,networkCall,rawWrite,manifestWrite,idempotent,resumeSupported,tested,testPath,status,evidencePath
APQ query builder,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,Persisted query metadata exists; no callable builder.,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_PROVEN,NOT_PROVEN,False,NOT_IMPLEMENTED,POLICY_ONLY,crawl/releases/CRAWL_20260806_03/query_registry.yaml
pagination loop,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,Observed behavior documented; executable loop absent.,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_PROVEN,NOT_PROVEN,False,NOT_IMPLEMENTED,NOT_IMPLEMENTED,crawl/docs/audit/APQ_PAGINATION_AUDIT.csv
range semantics,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,OR semantics evidence exists; callable implementation absent.,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_PROVEN,NOT_PROVEN,False,NOT_IMPLEMENTED,POLICY_ONLY,crawl/docs/audit/APQ_RANGE_SEMANTICS_FINAL.md
transparent httpx client,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,No committed httpx client.,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_PROVEN,NOT_PROVEN,False,NOT_IMPLEMENTED,NOT_IMPLEMENTED,crawl/docs/audit/SOURCE_POLICY_DECISION.md
rate limiter,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,One request/sec is policy text only.,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_PROVEN,NOT_PROVEN,False,NOT_IMPLEMENTED,POLICY_ONLY,crawl/docs/audit/SOURCE_POLICY_DECISION.md
concurrency limiter,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,No code or test.,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_PROVEN,NOT_PROVEN,False,NOT_IMPLEMENTED,NOT_IMPLEMENTED,
HTTP 403 kill switch,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,No code or test.,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_PROVEN,NOT_PROVEN,False,NOT_IMPLEMENTED,NOT_IMPLEMENTED,
success-rate kill switch,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,No code or test.,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_PROVEN,NOT_PROVEN,False,NOT_IMPLEMENTED,NOT_IMPLEMENTED,
raw store,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,"Raw files exist, writer is absent.",NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_PROVEN,NOT_PROVEN,False,NOT_IMPLEMENTED,NOT_IMPLEMENTED,crawl/data/raw/
gzip store,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,"29 gzip files exist, writer is absent.",NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_PROVEN,NOT_PROVEN,False,NOT_IMPLEMENTED,NOT_IMPLEMENTED,crawl/data/raw/linkareer/detail/
SHA-256,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,Checksum artifact exists; project implementation absent.,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_PROVEN,NOT_PROVEN,False,NOT_IMPLEMENTED,POLICY_ONLY,crawl/releases/CRAWL_20260806_03/CHECKSUMS.sha256
fetch manifest,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,"33 output rows exist, writer is absent.",NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_PROVEN,NOT_PROVEN,False,NOT_IMPLEMENTED,NOT_IMPLEMENTED,crawl/releases/CRAWL_20260806_03/fetch_manifest.jsonl
posting manifest,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,"137 output rows exist, writer is absent.",NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_PROVEN,NOT_PROVEN,False,NOT_IMPLEMENTED,NOT_IMPLEMENTED,crawl/releases/CRAWL_20260806_03/posting_manifest.parquet
asset collector,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,Manifest is empty; collector absent.,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_PROVEN,NOT_PROVEN,False,NOT_IMPLEMENTED,NOT_IMPLEMENTED,crawl/releases/CRAWL_20260806_03/asset_manifest.jsonl
release builder,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,No reproducible builder or CLI.,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_PROVEN,NOT_PROVEN,False,NOT_IMPLEMENTED,NOT_IMPLEMENTED,crawl/releases/
