stageId,owner,executionMode,sourceNotebookPath,sourceNotebookSha256,moduleBlobSha256,runId,dataVersion,status,manifestPath,manifestSha256,exactOne,staleConsumed,foreignArtifactConsumed,productionNetworkCalls,externalAtsTransportCalls
A1-00-RECOVER,A1,FRESH_KERNEL_NOTEBOOK,crawl/notebooks/00RecoverSourceState.ipynb,c3fe68cf946e432df7610ba78452898c0fe62dfd5f9df8296d314a7990d1a257,eeaef929d65067bd8fc9bc5bd35c79e92a9e0354a9fef458772977fe6dce31f4,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A1-00-RECOVER/stage_manifest.json,cfd8ee666d5bf5743aa30964fb94ade0e0403f4037cdb685b5d709c07e30c7fc,True,0,0,0,0
A1-01-INDEX,A1,FRESH_KERNEL_NOTEBOOK,crawl/notebooks/01CollectLinkareerIndex.ipynb,ea3454cca50c8e50b3d18406006f1f4fc83a705ba84134009cd3b42a2e3a95a2,eeaef929d65067bd8fc9bc5bd35c79e92a9e0354a9fef458772977fe6dce31f4,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A1-01-INDEX/stage_manifest.json,3fc04071f5ea5ed26d8779a95d52177afffacdc3ae92380c48f75c712db9a63f,True,0,0,0,0
A1-02-DETAIL,A1,FRESH_KERNEL_NOTEBOOK,crawl/notebooks/02CollectPostingDetail.ipynb,ca713dc03c421ba9ea900fa72062ceba6ef32ac2d7642789c59194a8e8be3de3,eeaef929d65067bd8fc9bc5bd35c79e92a9e0354a9fef458772977fe6dce31f4,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A1-02-DETAIL/stage_manifest.json,2225d94beebeaf6a9d3a54883c81a1248b7d065bdd676a45be3a1eb05889722e,True,0,0,0,0
A1-03-ASSET,A1,FRESH_KERNEL_NOTEBOOK,crawl/notebooks/03CollectPostingAssets.ipynb,6baf34bb0daefeb455b0da86e0eba3624a7016d11fb893ecaf46fabd8c2181f2,eeaef929d65067bd8fc9bc5bd35c79e92a9e0354a9fef458772977fe6dce31f4,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A1-03-ASSET/stage_manifest.json,e7f6a580873c255c04da055bda51eb05a6a736486e62b4a59678b4c8172a8ed1,True,0,0,0,0
A1-04-RELEASE,A1,FRESH_KERNEL_NOTEBOOK,crawl/notebooks/04BuildCrawlRelease.ipynb,18b786aae98ceed86b1313bff143af7ea5d2ad023514fe9f5d0ab0159a04718c,eeaef929d65067bd8fc9bc5bd35c79e92a9e0354a9fef458772977fe6dce31f4,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,NOT_EVALUATED,reports/m1_5_unified_reconciliation/stages/A1-04-RELEASE/stage_manifest.json,3019c6ea9b48b1b089f353b96c75669af7182ba599465643273fd62e1ae1f231,True,0,0,0,0
A2-00-CONTRACT,A2,FRESH_KERNEL_NOTEBOOK,pipeline/notebooks/00ContractAndInputAudit.ipynb,86e599f6c822f0cb5da4a149443ea94393aefc29416ec965a3f5e443862e479d,3f023bee45b92ff3db2c6ca499c01339be6a2779c95795dc35905cecd1a8f93b,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A2-00-CONTRACT/stage_manifest.json,5b10b53c34109fefae73aeeb1382fc4beddca3f7f9c24f2352d88e4c776c7ed9,True,0,0,0,0
A2-01-LOAD,A2,FRESH_KERNEL_NOTEBOOK,pipeline/notebooks/01LoadCrawlRelease.ipynb,5fa8f23840d769cab3980665276b74f3aaa42306b58e299ac7eacac0d718221d,3f023bee45b92ff3db2c6ca499c01339be6a2779c95795dc35905cecd1a8f93b,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A2-01-LOAD/stage_manifest.json,24ec266d36a47bc3db3a69a9eed0320d23c95e6bd16f011500ff5e20922ba76f,True,0,0,0,0
A2-02-NORMALIZE,A2,FRESH_KERNEL_NOTEBOOK,pipeline/notebooks/02ParseAndNormalize.ipynb,b1cf625b99252b41fa808973ccfec38a53669c14fda3444ad0ee64512820ce31,3f023bee45b92ff3db2c6ca499c01339be6a2779c95795dc35905cecd1a8f93b,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A2-02-NORMALIZE/stage_manifest.json,cfb76b996a35dd5286cb292072a1c27e9eff8de27852fa5a9a03abc8c5f1404e,True,0,0,0,0
A2-03-OCR,A2,FRESH_KERNEL_NOTEBOOK,pipeline/notebooks/03OcrAndSectionRecovery.ipynb,db5ca86e37c73f09097f7f740bcef633643439d24eb20a1bcfd24171d78f518a,3f023bee45b92ff3db2c6ca499c01339be6a2779c95795dc35905cecd1a8f93b,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A2-03-OCR/stage_manifest.json,78aa5de63cafa5fbb12ea341b6d66305d057814ef2092ab96d7c920a967c915e,True,0,0,0,0
A2-04-TRACK,A2,FRESH_KERNEL_NOTEBOOK,pipeline/notebooks/04SplitTracks.ipynb,3892d341ca93b999d459e4faabd250f622ae8d626e994d9ee11a563b3a0f6aca,3f023bee45b92ff3db2c6ca499c01339be6a2779c95795dc35905cecd1a8f93b,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A2-04-TRACK/stage_manifest.json,d676b6c48af7b4700591153e25e324687ead59e696cb010fe11fd3051693262e,True,0,0,0,0
