edgeId,sourceLayer,targetLayer,sourceRows,targetRows,keyLossOrUnresolved,orphanRows,duplicateRows,sourceSha256,codeSha256,dataVersion,runId,manifestSha256,status
EDGE-01,posting_manifest,raw_posting,137,137,0,0,0,0515260b0f93f98440e68ed8211551b04ba17975b1654709d76ccbee6acda17b,8e2fb99e7ef10d3b17764ae0be848217a7f4601e6c314fc8ef0a6feb261eacd5,reconciliation-20260807.6,M1_5_RECONCILIATION_20260807_06,ea22c2b19383bea7a4fab91354e044dd877e4776ca0d035a45cafa0c4e2524f7,PASS
EDGE-02,external_raw_authority,deterministic_semantic_recovery,29,137,108,0,0,0515260b0f93f98440e68ed8211551b04ba17975b1654709d76ccbee6acda17b,8e2fb99e7ef10d3b17764ae0be848217a7f4601e6c314fc8ef0a6feb261eacd5,reconciliation-20260807.6,M1_5_RECONCILIATION_20260807_06,213424889e5c9c82b50c7b730a7a0325706866fe34a8501ba2ff9b63e24ea564,PASS_WITH_EXPLICIT_UNRESOLVED
EDGE-03,raw_posting,posting_normalized,137,137,0,0,0,915f147e6d81a55b8073a69346863764f0efe3208f5a4b9aff0b65bfda58196a,8e2fb99e7ef10d3b17764ae0be848217a7f4601e6c314fc8ef0a6feb261eacd5,reconciliation-20260807.6,M1_5_RECONCILIATION_20260807_06,213424889e5c9c82b50c7b730a7a0325706866fe34a8501ba2ff9b63e24ea564,PASS
EDGE-04,posting_normalized,posting_track,137,137,0,0,0,915f147e6d81a55b8073a69346863764f0efe3208f5a4b9aff0b65bfda58196a,8e2fb99e7ef10d3b17764ae0be848217a7f4601e6c314fc8ef0a6feb261eacd5,reconciliation-20260807.6,M1_5_RECONCILIATION_20260807_06,402b288c54435a08f6a694a2e2cfaef4df4a93882949606aecb77bc3572158b2,PASS
EDGE-05,posting_track,posting_section,137,84,0,0,0,915f147e6d81a55b8073a69346863764f0efe3208f5a4b9aff0b65bfda58196a,8e2fb99e7ef10d3b17764ae0be848217a7f4601e6c314fc8ef0a6feb261eacd5,reconciliation-20260807.6,M1_5_RECONCILIATION_20260807_06,748a19a55b4e586ea685277b4ccbd68923ae8f3996cb08fd5fb508e25aa6358d,PASS
EDGE-06,posting_section,source_block,84,84,0,0,0,915f147e6d81a55b8073a69346863764f0efe3208f5a4b9aff0b65bfda58196a,8e2fb99e7ef10d3b17764ae0be848217a7f4601e6c314fc8ef0a6feb261eacd5,reconciliation-20260807.6,M1_5_RECONCILIATION_20260807_06,748a19a55b4e586ea685277b4ccbd68923ae8f3996cb08fd5fb508e25aa6358d,PASS
EDGE-07,source_block,semantic_chunk,84,277,0,0,0,915f147e6d81a55b8073a69346863764f0efe3208f5a4b9aff0b65bfda58196a,8e2fb99e7ef10d3b17764ae0be848217a7f4601e6c314fc8ef0a6feb261eacd5,reconciliation-20260807.6,M1_5_RECONCILIATION_20260807_06,748a19a55b4e586ea685277b4ccbd68923ae8f3996cb08fd5fb508e25aa6358d,PASS
EDGE-08,source_block,requirement_fact,84,41,0,0,0,915f147e6d81a55b8073a69346863764f0efe3208f5a4b9aff0b65bfda58196a,8e2fb99e7ef10d3b17764ae0be848217a7f4601e6c314fc8ef0a6feb261eacd5,reconciliation-20260807.6,M1_5_RECONCILIATION_20260807_06,d8179495b5eaa8bfdd283fedae754e8cb2155e4f14160e503632b47eb0d4202e,PASS
EDGE-09,posting_section,ncs_candidate,84,128,0,0,0,915f147e6d81a55b8073a69346863764f0efe3208f5a4b9aff0b65bfda58196a,4f62d6bfdc7eb5b136e05e34e3813f01d0f82f7a0c089929bacdbed3aae29b5a,reconciliation-20260807.6,M1_5_RECONCILIATION_20260807_06,a9063cfb0af58286aac08a7d34d95b59841159c716f7a46ff5973eac4099110f,PASS
EDGE-10,ncs_candidate,mapping_or_abstain,128,28,0,0,0,915f147e6d81a55b8073a69346863764f0efe3208f5a4b9aff0b65bfda58196a,4f62d6bfdc7eb5b136e05e34e3813f01d0f82f7a0c089929bacdbed3aae29b5a,reconciliation-20260807.6,M1_5_RECONCILIATION_20260807_06,a9063cfb0af58286aac08a7d34d95b59841159c716f7a46ff5973eac4099110f,PASS
EDGE-11,mapping_or_abstain,official_level_band_structural,28,28,0,0,0,915f147e6d81a55b8073a69346863764f0efe3208f5a4b9aff0b65bfda58196a,4f62d6bfdc7eb5b136e05e34e3813f01d0f82f7a0c089929bacdbed3aae29b5a,reconciliation-20260807.6,M1_5_RECONCILIATION_20260807_06,a9063cfb0af58286aac08a7d34d95b59841159c716f7a46ff5973eac4099110f,PASS
EDGE-12,canonical_tables,preprocessed_export,137,137,0,0,0,915f147e6d81a55b8073a69346863764f0efe3208f5a4b9aff0b65bfda58196a,8e2fb99e7ef10d3b17764ae0be848217a7f4601e6c314fc8ef0a6feb261eacd5,reconciliation-20260807.6,M1_5_RECONCILIATION_20260807_06,d0f8cdb35566a05dcc03e2b6199b98469c6772f6d90139a0984ddf8125b56fb3,PASS
