stageId,runId,manifestCount,exactOne,checksumPass,sourceNotebookMatch,runBindingMatch,shaFieldsValid,staleConsumed,foreignArtifactConsumed,status,productionNetworkCalls,externalAtsTransportCalls,auditStatus
A1-00-RECOVER,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A1-01-INDEX,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A1-02-DETAIL,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A1-03-ASSET,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A1-04-RELEASE,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,NOT_EVALUATED,0,0,PASS
A2-00-CONTRACT,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A2-01-LOAD,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A2-02-NORMALIZE,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A2-03-OCR,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A2-04-TRACK,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A2-05-REQUIREMENT,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A2-06-DEDUP,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A2-07-LABEL,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A2-08-NCS-LOAD,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A2-09-NCS-MAP,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A2-10-EXPORT,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A2-11-QA,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A4-00-NCS-SOURCE,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A4-01-CODESET,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A4-02-RETRIEVAL,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A4-03-MAP-OBSERVED,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A4-04-EXPORT,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,SUCCEEDED,0,0,PASS
A4-05-EVALUATE,M1_5_RECONCILIATION_20260807_03,1,True,True,True,True,True,0,0,NOT_EVALUATED,0,0,PASS
