gateId,status,evidence,runId,dataVersion
A1_LATEST_HANDOFF_ACCEPTED,PASS,latest 14ebe6b evidence plus 92207e8 code consumed,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3
A1_COMPATIBILITY_FAILURES,PASS,8/8 classified and superseded; crawl tests 86/86,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3
A1_RAW_MOUNT_CONTRACT,PASS,mounted 29/29; unmounted fail-closed; wrong SHA quarantined,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3
A2_CANONICAL_EXPORT_WIRED,PASS,137 rows; deterministic recovery and sourceBlock lineage exported,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3
CANONICAL_POSTING_KIND,PASS,invalid=0/137,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3
CANONICAL_TIME_ENTITY,PASS_WITH_FINDINGS,29/137 authoritative; 108 explicit unresolved; mismatch=0,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3
A4_STAGE_AUTHORITY_READY,PASS,6/6 source authority; deterministic read-only replay,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3
A4_MAPPING_TO_MART_CONTRACT_READY,PASS,27 structural level/band plus 1 unmapped; quality NOT_EVALUATED,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3
CURRENT_RUN_MANIFEST_EXACT_ONE,PASS,23/23; stale=0; foreign=0,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3
STRICT_VALIDATOR,PASS,SUCCEEDED; exit=0,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3
M1_5_RECONCILIATION_READY_FOR_A5_AUDIT,PASS,A5 package complete; no self-promotion beyond A5 audit,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3
M1_5_RECONCILIATION_READY_FOR_M2_PREFLIGHT,BLOCKED,independent A5 PASS not yet supplied,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3
M2_CRAWL_READY_FOR_USER_APPROVAL,BLOCKED,A5 and user/source-policy approvals absent,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3
CRAWL_RELEASE_READY,BLOCKED,79-month production release absent,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3
ANALYSIS_READY,BLOCKED,production data and Gold gates absent,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3
