edgeId,edge,key,inputRows,outputRows,matchedRows,lossRows,orphanRows,duplicateRows,sourceSha256,codeSha256,dataVersion,runId,manifestSha256,status,finding
L01,raw→normalized,sourcePostingId,29,137,29,0,108,0,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,e1ea120167438f438e7eef04e57609db209dcb2544e31e25a6fae6518a9ecc78,observed-dev-20260806.1,P4_CLOUD_HANDOFF_AUDIT_20260806_01,f4d9f5cd4071ee8cd4af47b465f1fa8a214aff4d99d800d3be976f05b79fe63d,LINEAGE_UNPROVEN,raw bytes untracked; recovery output not consumed by canonical export
L02,normalized→track,postingId,137,137,137,0,0,0,86fb1f78310aa9951b3a1d07cc3bc32d4a1f05d93ab30f95de8c9ee539395bcb,9b0735bc650389e4fe5b9040a1f65b71277d545c782bf757e79bad8554a534c9,observed-dev-20260806.1,OBSERVED_DEV_20260806_01-A2-11-EXPORT-QA,f4d9f5cd4071ee8cd4af47b465f1fa8a214aff4d99d800d3be976f05b79fe63d,PASS,structural join proven
L03,track→section,trackId,137,84,84,109,0,0,bd155e178b55dfef5e50cf8539fd9ba438874d3079b21ff8644a455c667f8a33,7e5e56359ec196c3ff2872a77efe2f3d569e1042c73def446119e8060cd113b6,observed-dev-20260806.1,OBSERVED_DEV_20260806_01-A2-11-EXPORT-QA,f4d9f5cd4071ee8cd4af47b465f1fa8a214aff4d99d800d3be976f05b79fe63d,PASS_WITH_FINDINGS,84 sections belong to 28 tracks; 109 tracks have no section
L04,section→requirement,sectionId,84,35,35,56,0,0,3a2e9b2bd8acbd1495c5de944f6122d32efe98a07837bc8eb723d9e725fa63d0,da42c1fec78378ec386f7a1bfeb0abc6e806b8ba34f4dc88e606a7aba41689ba,observed-dev-20260806.1,P4_CLOUD_HANDOFF_AUDIT_20260806_01,f4d9f5cd4071ee8cd4af47b465f1fa8a214aff4d99d800d3be976f05b79fe63d,LINEAGE_UNPROVEN,canonical export has 35 facts; v4 replay produces 41 and is not consumed
L05,requirement→eligibility,sectionId→trackId→postingId,35,137,35,0,0,0,984d1b888da19f9ab85081ef2baa005159e61fb062eb29591757bb11364f6fdc,62a29a13ce69929fecf4f115917af93a5f30240ba48e5bc62b2b7706cce2e74e,observed-dev-20260806.1,OBSERVED_DEV_20260806_01-A2-11-EXPORT-QA,f4d9f5cd4071ee8cd4af47b465f1fa8a214aff4d99d800d3be976f05b79fe63d,BLOCKED,structural FK passes; canonical time/entity contract fails
L06,eligibility→NCS candidate,trackId,55,128,27,28,0,0,f62732d4a5dc4bf4f7de4780f111f93e9a445eec71d15c6c30fb927984bdd586,54fc72efa1c93d69e3c740df2bc0d5138edb02ed0f539d078d9f8d0b70c8f1e7,observed-dev-20260806.1,OBSERVED_DEV_20260806_01-A2-11-EXPORT-QA,f4d9f5cd4071ee8cd4af47b465f1fa8a214aff4d99d800d3be976f05b79fe63d,LINEAGE_UNPROVEN,55 eligible tracks but candidates cover 27
L07,candidate→mapping/abstain,trackId+sectionId,128,28,27,0,1,0,34cd70219e3d58136841b88185ed470f598d86b8d5227fce8ec6e9817c53a3fd,547868e7277e7d65e519c02c7fb3a56d87ab66f2cbe614550f9af1b9c6202158,observed-dev-20260806.1,OBSERVED_DEV_20260806_01-A2-11-EXPORT-QA,f4d9f5cd4071ee8cd4af47b465f1fa8a214aff4d99d800d3be976f05b79fe63d,LINEAGE_UNPROVEN,27 mapped + 1 unmapped; 27 eligible tracks have no explicit decision row
L08,mapping→level/band,matchedNcsUnitCode→ncsUnitCode,27,0,27,27,0,0,f3d479ad5164b6bdeaf7fcf85ed03f2e834ae1f0a1f182a75d2badbb0274cc92,cc7e0d619123043d17032152268947eb6ede0196779b7c9270791d1d015a7843,observed-dev-20260806.1,P4_CLOUD_HANDOFF_AUDIT_20260806_01,f4d9f5cd4071ee8cd4af47b465f1fa8a214aff4d99d800d3be976f05b79fe63d,LINEAGE_UNPROVEN,all 27 codes official; canonical mart level/band remains null
L09,level/band→mart,trackId,27,0,0,27,0,0,f3d479ad5164b6bdeaf7fcf85ed03f2e834ae1f0a1f182a75d2badbb0274cc92,db314acf1c999775e1ee0a2f70b92824fc84168e62a36bb8fb750eb6ea6f0062,observed-dev-20260806.1,P4_CLOUD_HANDOFF_AUDIT_20260806_01,f4d9f5cd4071ee8cd4af47b465f1fa8a214aff4d99d800d3be976f05b79fe63d,LINEAGE_UNPROVEN,RQ2-B implementation tested; empirical mart not built
L10,mart→RQ dataset,periodMonth+jobCohort+sourceRole,0,0,0,0,0,0,NOT_AVAILABLE,db314acf1c999775e1ee0a2f70b92824fc84168e62a36bb8fb750eb6ea6f0062,observed-dev-20260806.1,P4_CLOUD_HANDOFF_AUDIT_20260806_01,f4d9f5cd4071ee8cd4af47b465f1fa8a214aff4d99d800d3be976f05b79fe63d,BLOCKED,no empirical RQ dataset; empty evidence is NOT_EVALUATED
