tableName,tableDescription,columnOrder,columnName,type,nullable,description,enum,primaryKey,unique,default,check,source,derivation,qualityRule,contractVersion,sourceContractSha256
raw.queryRegistry,Versioned registry of verified Linkareer APQ and SSR query architecture,1,operationName,VARCHAR,False,GraphQL operation name,,True,False,,,Agent 1 APQ/SSR discovery evidence,direct extraction or normalized source metadata; no analytical inference,non-null and unique within primary key of raw.queryRegistry,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.queryRegistry,Versioned registry of verified Linkareer APQ and SSR query architecture,2,sha256Hash,VARCHAR,False,Apollo persisted-query SHA-256,,True,False,,length(sha256Hash) = 64,Agent 1 APQ/SSR discovery evidence,direct extraction or normalized source metadata; no analytical inference,non-null and unique within primary key of raw.queryRegistry; must satisfy length(sha256Hash) = 64,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.queryRegistry,Versioned registry of verified Linkareer APQ and SSR query architecture,3,transportType,VARCHAR,False,APQ SSR or Apollo transport,graphqlApq|nextDataSsr|apolloCache|html,False,False,,,Agent 1 APQ/SSR discovery evidence,direct extraction or normalized source metadata; no analytical inference,must be non-null; must belong to enum transportType,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.queryRegistry,Versioned registry of verified Linkareer APQ and SSR query architecture,4,httpMethod,VARCHAR,False,HTTP method,GET|POST,False,False,,,Agent 1 APQ/SSR discovery evidence,direct extraction or normalized source metadata; no analytical inference,must be non-null; must belong to enum httpMethod,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.queryRegistry,Versioned registry of verified Linkareer APQ and SSR query architecture,5,variablesSchemaJson,JSON,True,JSON schema for operation variables,,False,False,,,Agent 1 APQ/SSR discovery evidence,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.queryRegistry,Versioned registry of verified Linkareer APQ and SSR query architecture,6,responseSchemaJson,JSON,True,JSON schema for response payload,,False,False,,,Agent 1 APQ/SSR discovery evidence,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.queryRegistry,Versioned registry of verified Linkareer APQ and SSR query architecture,7,frontendBuildId,VARCHAR,True,Next.js frontend build identifier,,False,False,,,Agent 1 APQ/SSR discovery evidence,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.queryRegistry,Versioned registry of verified Linkareer APQ and SSR query architecture,8,discoveredAt,TIMESTAMPTZ,False,Initial discovery timestamp,,False,False,,,Agent 1 APQ/SSR discovery evidence,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.queryRegistry,Versioned registry of verified Linkareer APQ and SSR query architecture,9,lastVerifiedAt,TIMESTAMPTZ,False,Most recent verification timestamp,,False,False,,,Agent 1 APQ/SSR discovery evidence,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.queryRegistry,Versioned registry of verified Linkareer APQ and SSR query architecture,10,activeFlag,BOOLEAN,False,Operation remains active,,False,False,,,Agent 1 APQ/SSR discovery evidence,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.queryRegistry,Versioned registry of verified Linkareer APQ and SSR query architecture,11,verificationStatus,VARCHAR,False,Verification status,verified|stale|failed|pending,False,False,,,Agent 1 APQ/SSR discovery evidence,direct extraction or normalized source metadata; no analytical inference,must be non-null; must belong to enum verificationStatus,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
